Term	Index	Depth
GO:0090636	290	2
GO:0097203	291	2
GO:0097735	292	2
GO:0140510	293	2
GO:0048786	294	2
GO:0090658	295	2
GO:0032158	296	2
GO:0005621	297	2
GO:0120206	298	2
GO:0097002	299	2
GO:0043034	300	2
GO:0035843	301	2
GO:1990427	302	2
GO:0097684	303	2
GO:1990717	304	2
GO:0070701	305	2
GO:0060104	306	2
GO:0034451	307	2
GO:0043593	308	2
GO:0016020	309	2
GO:0030054	310	2
GO:0098794	311	2
GO:0043595	312	2
GO:0106124	313	2
GO:1990013	314	2
GO:0120220	315	2
GO:0055044	316	2
GO:0020023	317	2
GO:0062160	318	2
GO:0071341	319	2
GO:0061645	320	2
GO:0005615	321	2
GO:0044232	322	2
GO:0033172	323	2
GO:0048224	324	2
GO:0020010	325	2
GO:0030017	326	2
GO:0032584	327	2
GO:0005815	328	2
GO:0042716	329	2
GO:0097542	330	2
GO:0070865	331	2
GO:0031252	332	2
GO:0031911	333	2
GO:0120307	334	2
GO:0120280	335	2
GO:0043036	336	2
GO:0033270	337	2
GO:0070258	338	2
GO:0009574	339	2
GO:0020032	340	2
GO:0060111	341	2
GO:0032178	342	2
GO:0036457	343	2
GO:0044298	344	2
GO:0097562	345	2
GO:0044292	346	2
GO:0035749	347	2
GO:0046818	348	2
GO:0009930	349	2
GO:0097423	350	2
GO:0097596	351	2
GO:0097541	352	2
GO:0009532	353	2
GO:0030875	354	2
GO:0010339	355	2
GO:0061845	356	2
GO:0043194	357	2
GO:0043674	358	2
GO:0030018	359	2
GO:0097543	360	2
GO:1990016	361	2
GO:0045171	362	2
GO:0000242	363	2
GO:0098833	364	2
GO:0009419	365	2
GO:0097229	366	2
GO:0097448	367	2
GO:0140511	368	2
GO:0070645	369	2
GO:0097593	370	2
GO:0033101	371	2
GO:0001651	372	2
GO:0035253	373	2
GO:0048217	374	2
GO:0043676	375	2
GO:0009524	376	2
GO:0055120	377	2
GO:0001650	378	2
GO:0090543	379	2
GO:0001891	380	2
GO:0090651	381	2
GO:0005930	382	2
GO:0043188	383	2
GO:0090642	384	2
GO:0120106	385	2
GO:0071808	386	2
GO:0045177	387	2
GO:0019898	388	2
GO:0005654	389	2
GO:0043680	390	2
GO:1990718	391	2
GO:0031974	392	2
GO:0042641	393	2
GO:0031254	394	2
GO:0043218	395	2
GO:0099080	396	2
GO:0097613	397	2
GO:1990018	398	2
GO:0043668	399	2
GO:1990752	400	2
GO:0019037	401	2
GO:0009421	402	2
GO:0048225	403	2
GO:0061830	404	2
GO:0002177	405	2
GO:0005631	406	2
GO:0120260	407	2
GO:0060109	408	2
GO:0048222	409	2
GO:0097568	410	2
GO:0043672	411	2
GO:0043265	412	2
GO:0044280	413	2
GO:0009420	414	2
GO:1990038	415	2
GO:0030428	416	2
GO:0120321	417	2
GO:0000785	418	2
GO:0035183	419	2
GO:0099086	420	2
GO:0061908	421	2
GO:0043203	422	2
GO:0030478	423	2
GO:0009422	424	2
GO:0030486	425	2
GO:0097574	426	2
GO:0044297	427	2
GO:0090734	428	2
GO:0043245	429	2
GO:0097537	430	2
GO:0008540	431	2
GO:1990957	432	2
GO:0016272	433	2
GO:0072379	434	2
GO:1990706	435	2
GO:0036501	436	2
GO:1990666	437	2
GO:0034464	438	2
GO:0062073	439	2
GO:1990660	440	2
GO:0000417	441	2
GO:0098561	442	2
GO:0032311	443	2
GO:1990351	444	2
GO:0036286	445	2
GO:0044697	446	2
GO:0000808	447	2
GO:0098636	448	2
GO:0039658	449	2
GO:1990315	450	2
GO:0002199	451	2
GO:0043293	452	2
GO:0005885	453	2
GO:0030991	454	2
GO:0045298	455	2
GO:0008290	456	2
GO:1990586	457	2
GO:0071203	458	2
GO:0106093	459	2
GO:0019814	460	2
GO:0005616	461	2
GO:0030082	462	2
GO:1990909	463	2
GO:0098820	464	2
GO:0046798	465	2
GO:0044815	466	2
GO:0002133	467	2
GO:0019773	468	2
GO:0120228	469	2
GO:0019774	470	2
GO:1990125	471	2
GO:0097710	472	2
GO:0061927	473	2
GO:0062048	474	2
GO:0030990	475	2
GO:1904090	476	2
GO:0034749	477	2
GO:0031941	478	2
GO:1990730	479	2
GO:1990527	480	2
GO:0061696	481	2
