Term	Index
GO:1990841	354
GO:0031491	355
GO:0062058	356
GO:1904854	357
GO:1905394	358
GO:0032404	359
GO:0001092	360
GO:0005158	361
GO:0035612	362
GO:1990448	363
GO:1904713	364
GO:1904931	365
GO:0106138	366
GO:0140496	367
GO:0035650	368
GO:1905761	369
GO:0106140	370
GO:0019215	371
GO:0005178	372
GO:0035651	373
GO:0062078	374
GO:0001096	375
GO:0106080	376
GO:0140164	377
GO:0051015	378
GO:0001094	379
GO:0034988	380
GO:0062062	381
GO:0001095	382
GO:0120170	383
GO:0043021	384
GO:1905334	385
GO:0062068	386
GO:0034710	387
GO:0062060	388
GO:0010997	389
GO:0062066	390
GO:0048185	391
GO:0062069	392
GO:0019865	393
GO:0070051	394
GO:0001097	395
GO:0106137	396
GO:0032795	397
GO:0036033	398
GO:0140262	399
GO:0062061	400
GO:0071814	401
GO:0036461	402
GO:0120160	403
GO:1904841	404
GO:0001849	405
GO:0005518	406
GO:0120325	407
GO:0062070	408
GO:0030507	409
GO:0005132	410
GO:1905762	411
GO:0140260	412
GO:0070840	413
GO:0031683	414
GO:0098633	415
GO:0140259	416
GO:1904855	417
GO:0042608	418
GO:1905763	419
GO:0062067	420
GO:0023023	421
GO:1990593	422
GO:0062059	423
GO:0062063	424
GO:0070628	425
GO:1904288	426
GO:0071933	427
GO:0051740	428
GO:0045504	429
GO:0097371	430
GO:0034189	431
GO:0043559	432
GO:0010313	433
GO:0031249	434
GO:0008267	435
GO:0034185	436
GO:1990763	437
GO:0005521	438
GO:0001098	439
GO:0046983	440
GO:0030332	441
GO:0005102	442
GO:0071889	443
GO:0005522	444
GO:0042802	445
GO:0002162	446
GO:0031720	447
GO:0051087	448
GO:0140030	449
GO:0019955	450
GO:0042393	451
GO:0061676	452
GO:0030742	453
GO:0070678	454
GO:0097108	455
GO:0097678	456
GO:0031682	457
GO:0019904	458
GO:0043008	459
GO:0048306	460
GO:0030276	461
GO:0002046	462
GO:0019899	463
GO:0019838	464
GO:0045294	465
GO:0008013	466
GO:0061770	467
GO:0008022	468
GO:0001965	469
GO:0031072	470
GO:0008134	471
GO:0044548	472
GO:0001846	473
GO:0051787	474
GO:0070064	475
GO:0043621	476
GO:0050839	477
GO:0097602	478
GO:0051018	479
GO:0038100	480
GO:0045505	481
GO:0001918	482
GO:0032767	483
GO:0097655	484
GO:0030984	485
GO:0098769	486
GO:0061675	487
GO:0043548	488
GO:0098770	489
GO:0046332	490
GO:1990935	491
GO:0071253	492
GO:0045569	493
GO:0043532	494
GO:0031423	495
GO:0097110	496
GO:0051959	497
GO:0042988	498
GO:0008092	499
GO:0089710	500
GO:0032182	501
GO:0031369	502
GO:0045295	503
GO:0032794	504
GO:0017147	505
GO:0039706	506
GO:0001848	507
GO:0055100	508
GO:0005516	509
GO:0031681	510
GO:0045503	511
GO:0046980	512
GO:0002039	513
GO:0044325	514
GO:0030881	515
GO:0043221	516
GO:0030492	517
GO:0001968	518
GO:0051082	519
GO:0045152	520
GO:1990405	521
GO:0051021	522
GO:0043560	523
GO:0000149	524
GO:0046977	525
GO:1990430	526
GO:0070097	527
GO:0051219	528
GO:0089719	529
GO:0106151	530
GO:0034711	531
GO:0070866	532
GO:0047485	533
GO:0051738	534
GO:0005550	535
GO:0046789	536
GO:1990239	537
GO:0005497	538
GO:0005500	539
GO:0099130	540
GO:0044373	541
GO:0010427	542
GO:0017046	543
GO:0038106	544
GO:0010331	545
GO:0070324	546
GO:0048408	547
GO:0010011	548
GO:0035100	549
GO:1904399	550
GO:0043544	551
GO:0043199	552
GO:0031405	553
