Term	Index	Ancestors
GO:0098531	219	0 2 28
GO:0001216	220	0 2 28
GO:0003713	221	0 2 33
GO:0003714	222	0 2 33
GO:0033428	223	0 3 6 36 90 91 633 1666 3530
GO:0033438	224	0 3 6 36 90 91 633 1666 3530
GO:0033418	225	0 3 6 36 90 91 633 1666 3530
GO:0033460	226	0 3 6 36 90 91 633 1666 3530
GO:0033445	227	0 3 6 36 90 91 633 1666 3530
GO:0033405	228	0 3 6 36 90 91 633 1666 3530
GO:0033404	229	0 3 6 36 90 91 633 1666 3530
GO:0033458	230	0 3 6 36 90 91 633 1666 3530
GO:0033446	231	0 3 6 36 90 91 633 1666 3530
GO:0033442	232	0 3 6 36 90 91 633 1666 3530
GO:0033454	233	0 3 6 36 90 91 633 1666 3530
GO:0033419	234	0 3 6 36 90 91 633 1666 3530
GO:0033430	235	0 3 6 36 90 91 633 1666 3530
GO:0033406	236	0 3 6 36 90 91 633 1666 3530
GO:0033451	237	0 3 6 36 90 91 633 1666 3530
GO:0033415	238	0 3 6 36 90 91 633 1666 3530
GO:0033411	239	0 3 6 36 90 91 633 1666 3530
GO:0033447	240	0 3 6 36 90 91 633 1666 3530
GO:0033463	241	0 3 6 36 90 91 633 1666 3530
GO:0033435	242	0 3 6 36 90 91 633 1666 3530
GO:0033410	243	0 3 6 36 90 91 633 1666 3530
GO:0033432	244	0 3 6 36 90 91 633 1666 3530
GO:0033426	245	0 3 6 36 90 91 633 1666 3530
GO:0033441	246	0 3 6 36 90 91 633 1666 3530
GO:0033443	247	0 3 6 36 90 91 633 1666 3530
GO:0033437	248	0 3 6 36 90 91 633 1666 3530
GO:0033413	249	0 3 6 36 90 91 633 1666 3530
GO:0033444	250	0 3 6 36 90 91 633 1666 3530
GO:0033422	251	0 3 6 36 90 91 633 1666 3530
GO:0033461	252	0 3 6 36 90 91 633 1666 3530
GO:0033416	253	0 3 6 36 90 91 633 1666 3530
GO:0033408	254	0 3 6 36 90 91 633 1666 3530
GO:0033440	255	0 3 6 36 90 91 633 1666 3530
GO:0033448	256	0 3 6 36 90 91 633 1666 3530
GO:0033450	257	0 3 6 36 90 91 633 1666 3530
GO:0033420	258	0 3 6 36 90 91 633 1666 3530
GO:0033436	259	0 3 6 36 90 91 633 1666 3530
GO:0033414	260	0 3 6 36 90 91 633 1666 3530
GO:0033462	261	0 3 6 36 90 91 633 1666 3530
GO:0033459	262	0 3 6 36 90 91 633 1666 3530
GO:0033453	263	0 3 6 36 90 91 633 1666 3530
GO:0033464	264	0 3 6 36 90 91 633 1666 3530
GO:0033417	265	0 3 6 36 90 91 633 1666 3530
GO:0033412	266	0 3 6 36 90 91 633 1666 3530
GO:0033423	267	0 3 6 36 90 91 633 1666 3530
GO:0033427	268	0 3 6 36 90 91 633 1666 3530
GO:0033421	269	0 3 6 36 90 91 633 1666 3530
GO:0033452	270	0 3 6 36 90 91 633 1666 3530
GO:0033409	271	0 3 6 36 90 91 633 1666 3530
GO:0033433	272	0 3 6 36 90 91 633 1666 3530
GO:0033456	273	0 3 6 36 90 91 633 1666 3530
GO:0033439	274	0 3 6 36 90 91 633 1666 3530
GO:0033455	275	0 3 6 36 90 91 633 1666 3530
GO:0033449	276	0 3 6 36 90 91 633 1666 3530
GO:0033429	277	0 3 6 36 90 91 633 1666 3530
GO:0033401	278	0 3 6 36 90 91 633 1666 3530
GO:0033425	279	0 3 6 36 90 91 633 1666 3530
GO:0033431	280	0 3 6 36 90 91 633 1666 3530
GO:0033457	281	0 3 6 36 90 91 633 1666 3530
GO:0033434	282	0 3 6 36 90 91 633 1666 3530
GO:0033402	283	0 3 6 36 90 91 633 1666 3530
GO:0033407	284	0 3 6 36 90 91 633 1666 3530
GO:0033424	285	0 3 6 36 90 91 633 1666 3530
GO:0033403	286	0 3 6 36 90 91 633 1666 3530
GO:0140587	287	0 3 6 37 90 91 633 1667 3536
GO:0140483	288	0 3 38
GO:0001010	289	0 3 38
GO:0140767	290	0 3 38
GO:0005091	291	0 3 9 38 136 970 2887
GO:0140517	292	0 3 38
GO:0005484	293	0 3 38
GO:0035591	294	0 3 38
GO:0140463	295	0 3 38
GO:0043495	296	0 3 38
GO:0140312	297	0 3 38
GO:1990644	298	0 3 38
GO:0001139	299	0 3 6 38 61 439 463 1271 1470 3257 3414
GO:0005483	300	0 3 38
GO:0140693	301	0 3 38
GO:0008093	302	0 3 38
GO:0140827	303	0 5 42
GO:0034986	304	0 5 42
GO:0016531	305	0 5 42
GO:0140713	306	0 5 44
GO:0140598	307	0 5 44
GO:0032977	308	0 5 44
GO:0000036	309	0 5 6 47 93 645
GO:0036370	310	0 5 47
GO:0005049	311	0 5 48
GO:0061608	312	0 5 48
GO:0008061	313	0 6 51
GO:2001079	314	0 6 51
GO:0032553	315	0 6 51 52 90 91 348 622
GO:0046871	316	0 6 51
GO:0070967	317	0 6 51 73 90 91 578 1596
GO:0070095	318	0 6 51 73 578
GO:0070891	319	0 6 51
GO:1990458	320	0 6 51
GO:1902516	321	0 6 51 73 578
GO:1904599	322	0 6 51
GO:0001882	323	0 6 51 52 90 91
GO:0001530	324	0 6 51 82
GO:0140081	325	0 6 51 61
GO:0051861	326	0 6 51 82
GO:0032500	327	0 6 51 78 587
GO:1902248	328	0 6 51 73 578
GO:2001066	329	0 6 51
GO:0016936	330	0 6 51
GO:2001080	331	0 6 51
GO:2001227	332	0 6 51 73 74 578
GO:0072570	333	0 6 51 73 90 91 578
GO:0043394	334	0 6 51 61
GO:1904067	335	0 6 51
GO:0033691	336	0 6 51 73 578 1596
GO:0032552	337	0 6 51 52 90 91 348 622
GO:0005539	338	0 6 51
GO:0035727	339	0 6 51 73 82 578 604
GO:0072572	340	0 6 51
GO:0033219	341	0 6 52 78
GO:0002054	342	0 6 52 90 91
GO:0019825	343	0 6 52
GO:0043178	344	0 6 52
GO:0019842	345	0 6 52
GO:0043177	346	0 6 52
GO:0048029	347	0 6 52 83
GO:0000166	348	0 6 52 90 91 622
GO:0046810	349	0 6 53
GO:0044730	350	0 6 53 61
GO:0043236	351	0 6 53 61
GO:0031490	352	0 6 54 90 91 633 1667
GO:1990188	353	0 6 54
GO:1990841	354	0 6 54
GO:0031491	355	0 6 54 59
GO:0062058	356	0 6 59
GO:1904854	357	0 6 59
GO:1905394	358	0 6 59
GO:0032404	359	0 6 59
GO:0001092	360	0 6 59 61 439 471 1271 1488 3258
GO:0005158	361	0 6 59 61 442
GO:0035612	362	0 6 59
GO:1990448	363	0 6 59
GO:1904713	364	0 6 59
GO:1904931	365	0 6 59
