Leaf	Index	Depth
GO:0009294	898	3
GO:0090332	899	3
GO:1990069	900	3
GO:0010497	901	3
GO:0110077	902	3
GO:1990349	903	3
GO:0016038	904	3
GO:0016039	905	3
GO:0007124	906	3
GO:0009825	907	3
GO:0051210	910	3
GO:0051211	911	3
GO:0006973	913	3
GO:0010992	914	3
GO:0045454	915	3
GO:0046716	916	3
GO:0000913	922	3
GO:0007098	926	3
GO:0007099	927	3
GO:0010457	930	3
GO:0030037	931	3
GO:0045023	941	3
GO:0051298	942	3
GO:0061511	949	3
GO:0071990	953	3
GO:0110046	955	3
GO:0140530	958	3
GO:2000708	970	3
GO:0022614	971	3
GO:0001549	974	3
GO:0001556	976	3
GO:0001675	977	3
GO:0002078	978	3
GO:0007065	982	3
GO:0007066	983	3
GO:0007112	984	3
GO:0007277	987	3
GO:0007278	988	3
GO:0007284	991	3
GO:0007285	992	3
GO:0007287	993	3
GO:0007288	994	3
GO:0007289	995	3
GO:0007290	996	3
GO:0007294	997	3
GO:0007296	998	3
GO:0007299	1000	3
GO:0007306	1002	3
GO:0007307	1003	3
GO:0007308	1004	3
GO:0007312	1005	3
GO:0007315	1006	3
GO:0007318	1007	3
GO:0007342	1008	3
GO:0008302	1010	3
GO:0008335	1011	3
GO:0009560	1013	3
GO:0009829	1014	3
GO:0016325	1017	3
GO:0016345	1018	3
GO:0016346	1019	3
GO:0030707	1021	3
GO:0030714	1022	3
GO:0030720	1024	3
GO:0035045	1026	3
GO:0035092	1027	3
GO:0035232	1028	3
GO:0035233	1029	3
GO:0040038	1031	3
GO:0042070	1032	3
GO:0042699	1034	3
GO:0042701	1035	3
GO:0043046	1036	3
GO:0044345	1037	3
GO:0045450	1038	3
GO:0045476	1039	3
GO:0046594	1041	3
GO:0048137	1042	3
GO:0048235	1043	3
GO:0048240	1044	3
GO:0048515	1045	3
GO:0048600	1046	3
GO:0055047	1047	3
GO:0060833	1048	3
GO:0061364	1049	3
GO:0061935	1050	3
GO:0061936	1051	3
GO:0061954	1052	3
GO:0080166	1054	3
GO:0080173	1055	3
GO:0090376	1056	3
GO:0090377	1057	3
GO:0090378	1058	3
GO:0090379	1059	3
GO:0090380	1060	3
GO:0120211	1061	3
GO:0120316	1062	3
GO:1903537	1063	3
GO:1905198	1064	3
GO:1905199	1065	3
GO:1990953	1066	3
