Term	Index	Ancestors
GO:0010344	205	0 4 6 122 1191
GO:0010483	206	0 6 18
GO:0010588	207	0 6 8 286 1648 5253
GO:0018985	208	0 4 6 122 1190 4813 10217
GO:0019098	209	0 6 8 289
GO:0022413	210	0 6
GO:0022602	211	0 6 15
GO:0030709	212	0 6 19 410 2482 2486 6772 6916 12737 13333 19410 24579
GO:0032219	213	0 3 4 6 49 58 65 566 574 683 738 2864 2930 3444 7686
GO:0032220	214	0 4 6 122 1190 4813 10219 10227 16689
GO:0035036	215	0 4 6 88 859
GO:0035037	216	0 6 17 399 2439 6563 11631
GO:0035038	217	0 4 6 122 1190 4796 4800 10106 10125
GO:0035039	218	0 4 6 122 1190 4796 4800 10106 10125
GO:0035040	219	0 4 6 122 1190 4799 4813 10136 10228 16497
GO:0035041	220	0 4 6 122 1190 4795
GO:0035044	221	0 4 6 80 122 781 1190 4796 10108
GO:0035046	222	0 4 6 17 113 399 401 1122 2439 2442 2443 2455 4498
GO:0035471	223	0 4 6 19 86 410 820 2486 3855
GO:0042628	224	0 6
GO:0043093	225	0 4 6 98 921
GO:0044703	226	0 6
GO:0045729	227	0 3 6 61
GO:0046595	228	0 6 17 399 2441 2442
GO:0048359	229	0 3 4 6 58 672
GO:0048497	230	0 6 19 410 2482 2485 2486 6772 6776 6848 12746 19487
GO:0048573	231	0 6 16 386 2332 6270 11277
GO:0048609	232	0 6
GO:0051037	233	0 6 19 410 2472 2486 6648 6653 6656 6657 6660 11937 11938 11987 12065 12070 17826 18356 23296
GO:0051321	234	0 4 6 81
GO:0051663	235	0 6 17 401 2455
GO:0060011	236	0 4 6 90 880
GO:0060321	237	0 4 6 88 861
GO:0060466	238	0 6 19 410 2481 2486 2496 6741 6767 6930 6932 7028 12385 12388 12700 13420 13445 13608 19036 19042 19393 20260 24365 24565
GO:0060468	239	0 6 19 410 2482 2496 6802 7042 13076
GO:0060470	240	0 6 19 412 2503
GO:0060471	241	0 4 6 17 130 399 1208 2439 4838 6563 6568 10259 16724
GO:0060474	242	0 6 19 410 2477 2481 2486 2496 6710 6715 6741 6767 6921 7050 12318 12332 12372 12712 13347 18873 18899 20113
GO:0060475	243	0 4 6 19 122 410 412 1190 2481 2486 2531 4803 6741 6922 6928 6930 10182 12382 12388 13349 13393 13420 13432 16649 18985 19042 19054 20123 20185 20259 22573 24230 24364 24388
GO:0060476	244	0 4 6 17 101 113 396 1127 4523
GO:0060478	245	0 4 6 17 130 399 1208 2439 4838 6563 6568 10259 16724
GO:0060518	246	0 4 6 111 1098 4445 9580
GO:0060519	247	0 4 6 84
GO:0060738	248	0 4 6 7 83 272 1540
GO:0060739	249	0 4 6 7 83 272 1536
GO:0060767	250	0 4 6 90 880
GO:0060781	251	0 4 6 90 870
GO:0060783	252	0 4 6 19 86 410 819 2486 3806 3828
GO:0060858	253	0 6 17 399 2439 6563
GO:0060869	254	0 4 6 19 86 410 819 2486 3803 8929
GO:0060870	255	0 4 6 121 122 1187 1188 1190 4788 4791 4792 4799 4812 10096 10102
GO:0061450	256	0 4 6 111 1098 4445
GO:0061883	257	0 6 17 399 2439 6563 11631 17377 22839
GO:0061948	258	0 6
GO:0061955	259	0 4 6 19 122 410 412 1190 2481 2486 2531 4803 6741 6922 6930 10182 12388 13349 13420 13422 13432 16649 19042 19044 19054 20123 20259 20280 22574 24364 24383 24387
GO:0070871	260	0 4 6 121 122 1187 1190 4812
