Protein
Q8TE67
P26022
A6NFY7
P56748
Q9NRW3
Q53FT3
Q8WTU0
P61204
B4DX44
Q9NVV5
Q8WU20
Q15048
Q02127
P01567
Q9Y2B4
Q9UH77
Q9Y6D9
Q99675
Q6ZR62
Q15691
P43657
Q96HP4
P10145
Q9HCC6
P01036
Q93079
Q5JTZ5
Q8NGP0
O94925
Q6UW88
Q96HU1
Q8WUJ0
Q8NH61
Q8N5Z0
Q9UBI6
P23759
Q9UL63
Q9UJ41
Q53QW1
Q9BWW9
Q9UBD3
Q9UHG2
O14531
P08621
Q9H7L9
Q9NR30
P56962
Q9Y5Z9
Q9BZ67
P51168
O95190
P51522
Q8IVW1
Q92844
Q96N95
Q99954
P60059
P17480
Q15759
Q8NC24
P00540
A6NGJ6
Q7Z444
P28356
Q8N6N7
P07947
P06132
Q8N661
P21506
Q5U5Q3
O95218
Q12792
Q96ES6
O75874
P84095
M5A8F1
P22301
O95858
P63173
O43463
Q496H8
Q8N4P3
Q96KN1
Q9NY64
Q96MW5
Q8N3L3
Q92949
Q8N539
Q9BS40
O60513
Q9HBY0
Q9BSE4
P54136
Q9Y2C3
Q13310
Q7RTU5
Q9NUK0
Q504Y3
Q56P03
Q9NQ31
P06753
Q6NZ36
Q8NGA1
P27707
Q9UK80
Q8IZW8
Q5TF39
Q13410
Q9NNX1
Q6A1A2
Q86V81
Q01085
P08651
O75351
Q9NXN4
Q9GZY4
Q6PI78
Q03052
P80723
Q99622
Q9NWW6
P52741
Q96PQ6
Q86SS6
Q6UWY2
P13726
Q96FE5
Q9H596
Q32P28
P49802
Q8TBZ9
Q9NPE3
O00592
Q96QV1
P04424
Q9GZW5
Q147U7
Q13112
P34947
Q15637
Q15078
P62263
Q96S99
P69891
Q9UNE0
F8VTS6
Q9Y616
Q8NGC0
Q6PJ21
Q8TF45
Q05925
O94921
P60323
P06280
P21912
Q96PL5
Q96G21
Q9GZT5
Q96NT3
P22676
O43316
Q04759
P17861
Q13033
Q96SQ7
Q00537
P48163
Q7RTY1
Q8NDB2
Q13232
Q52MB2
P51398
O00322
Q9HCU5
Q9NVI7
Q56P42
Q15573
Q9Y282
A6NM28
Q9HCX3
P25787
Q9NPB9
Q9Y2N7
Q14CZ7
Q8N608
Q13618
Q6PJG9
Q9H4P4
Q9P2Y4
Q96DF8
Q13153
Q15349
Q9UEE5
Q9H2A3
Q5JTD7
Q8TDB6
P53816
Q96R69
Q8N8V4
P78385
O60499
Q14CW9
Q8N9N2
Q99819
O75052
A0AV96
Q9BVS4
Q16891
Q02750
O15405
Q9Y6X4
Q9Y5P1
A0A0B4J1V7
O14771
P00326
Q9UBW5
Q9H788
P57775
P29966
