GO:0008360
GO:0043406
GO:0050729
GO:0030509
GO:0051897
GO:0006897
GO:0006874
GO:0060070
GO:0060261
GO:1901224
GO:0071277
GO:0043154
GO:0010595
GO:0030148
GO:0045727
GO:0032456
GO:0006367
GO:0006606
GO:0050829
GO:0006919
GO:0000398
GO:0007010
GO:0051289
GO:0050728
GO:0050853
GO:0006366
GO:0070374
GO:0032091
GO:0031398
GO:0006906
GO:0032543
GO:0046330
GO:0007411
GO:0071347
GO:0000079
GO:0006260
GO:0060271
GO:0030593
GO:0032092
GO:0042149
GO:0014068
GO:1902600
GO:0070098
GO:0071222
GO:0042147
GO:0032956
GO:0042632
GO:0071805
GO:0051865
GO:0032720
GO:2000045
GO:0006469
GO:0045071
GO:0097352
GO:0008285
GO:0030433
GO:0051056
GO:0006635
GO:0007266
GO:0070534
GO:0071356
GO:0010508
GO:0043123
GO:0001938
GO:0045766
GO:0006470
GO:0007268
GO:0016241
GO:0090263
GO:0001580
GO:0032757
GO:0050830
GO:0031334
GO:0071346
GO:0033138
GO:1902895
GO:0007608
GO:0006513
GO:0090630
GO:0006364
GO:0007605
GO:0042531
GO:0006890
GO:0032729
GO:0032968
GO:0007179
GO:0006406
GO:0032088
GO:0030512
GO:0007169
GO:0046854
GO:0000724
GO:0000122
GO:0032436
GO:0051092
GO:0035725
GO:0006275
GO:0000045
GO:0007015
GO:0042776
GO:0016575
GO:0031397
GO:0016266
GO:0032731
GO:0050871
GO:0006282
GO:0043065
GO:0010862
GO:0016525
GO:0016579
GO:0019722
GO:0030308
GO:0006120
GO:0031146
GO:0150104
GO:0042273
GO:0036258
GO:0051123
GO:0072659
GO:0006879
GO:0018107
GO:0032760
GO:0061844
GO:0032981
GO:0007601
GO:0042102
GO:0090148
GO:0043524
GO:0046777
GO:0022617
GO:0006911
GO:0002181
GO:0030307
GO:0016485
GO:0000082
GO:0032755
GO:0050852
GO:0030336
GO:0090090
GO:0032880
GO:0070936
